Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageQ3Vals	StdQ3Vals	MaxQ3Vals	MinQ3Vals	LossPi	LossQ	Time	AVG Time Per Epoch
33	586.61206	228.29344	1386.0892	326.35208	459.94043	115.137375	693.54456	329.30548	233.85715	173.1	164999	103.91962	39.01481	174.747	-54.95618	103.92017	39.014256	178.04361	-56.912025	103.920135	39.015095	175.58723	-57.33027	-106.86077	18.420128	879.6178305149078	26.655085823752664
34	598.7368	143.86711	910.76715	359.43668	478.55023	171.7012	794.45514	307.77203	236.85715	181.9	169999	105.215576	39.564804	181.98766	-72.6612	105.214966	39.566277	181.79341	-77.94974	105.215355	39.565937	180.71587	-73.774925	-108.007744	19.3241	906.597404718399	26.664629599627325
35	505.6142	114.12135	742.3517	214.56236	476.2396	38.67411	507.62238	369.7047	195.42308	176.7	174999	106.54135	39.729782	184.24348	-63.63187	106.541565	39.730537	185.52751	-67.6659	106.54179	39.72987	182.77284	-66.08126	-109.2876	19.569357	933.4432849884033	26.669808203833444
36	576.8289	134.64622	885.8465	288.89484	443.92075	78.28837	569.0602	327.29733	217.69565	163.6	179999	107.7791	39.66945	187.3582	-64.37283	107.77925	39.66926	187.91623	-65.32375	107.77909	39.668568	183.59619	-60.7956	-110.65978	19.030056	960.4332430362701	26.678701255056595
37	508.84406	133.73581	753.36523	290.56058	483.10205	132.90898	709.0574	301.86	191.34616	178.2	184999	108.79002	39.560993	185.93156	-71.5061	108.79003	39.563114	187.48422	-65.403175	108.79019	39.562897	182.36475	-66.2732	-111.58322	19.145693	987.1433107852936	26.679548991693032
38	526.46436	117.728676	737.2874	268.69986	644.46906	108.54378	770.6628	497.23306	202.6	241.1	189999	109.60432	39.31419	182.96407	-74.37481	109.604515	39.314423	183.73267	-73.644264	109.60424	39.31489	181.10962	-77.235245	-112.508255	18.457813	1014.1004831790924	26.686854864421644
39	646.55396	191.23463	966.24567	280.49203	576.6342	100.00993	701.33545	457.32443	248.65	222.6	194999	110.694214	38.7293	182.2368	-73.91486	110.69416	38.729614	182.77588	-73.153656	110.69438	38.72979	181.37453	-72.04719	-113.439735	17.648891	1041.23375415802	26.698301437573555
40	624.3696	225.0053	1257.2649	321.1283	593.28546	229.46094	1066.41	355.0045	229.61905	215.3	199999	111.87156	38.592495	181.41588	-60.96605	111.87138	38.592842	181.50847	-55.832024	111.87158	38.593597	184.69366	-60.087532	-114.46565	17.326366	1067.977341413498	26.699433583021165
41	768.49133	324.71967	1673.2025	309.7462	883.8419	288.5472	1336.6953	520.9578	285.6111	321.5	204999	113.25347	38.706055	184.97011	-50.698906	113.25368	38.706295	184.42186	-61.009888	113.25311	38.707794	185.0013	-50.905	-115.66289	16.666323	1095.2458543777466	26.713313573744237
42	646.4847	203.88492	1114.1204	305.2888	706.67145	117.616615	841.95935	545.1673	234.09525	244.9	209999	114.66294	38.899403	184.02428	-54.43731	114.66351	38.898468	184.77069	-52.325737	114.66303	38.90066	186.71492	-57.191288	-116.906105	16.273663	1121.968739748001	26.713541467984516
