Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
80	587.13586	379.1973	1585.9333	142.71048	424.10254	160.21233	845.2778	280.1251	248.5625	200.6	319999	242.53084	72.26727	416.9536	-198.62044	-245.90749	105.50823	1898.1723320484161
81	643.3921	417.42682	1674.8168	166.41306	858.85657	715.7739	2200.8965	149.96127	260.875	427.4	323999	247.0643	73.15545	429.24243	-147.29868	-250.43259	107.261955	1923.1436898708344
82	498.3194	270.66962	1002.43945	73.15552	627.1546	342.33276	1364.1532	304.94867	236.23529	275.7	327999	248.5271	72.96046	454.436	-215.37724	-251.75784	109.884315	1947.5208156108856
83	870.94604	545.0688	2047.8656	57.86163	622.47736	635.8261	2129.1514	81.84808	329.41666	280.2	331999	248.88693	73.9286	434.93704	-220.15353	-252.13454	107.76718	1971.9809539318085
84	1030.4897	1100.8143	2855.2522	91.5024	979.0641	705.31134	2419.995	101.76018	406.4	370.7	335999	250.97824	73.28092	440.7937	-178.53099	-254.25948	108.54052	1996.6190876960754
85	721.37317	595.56195	2135.6995	96.40415	638.8957	283.3176	1093.7562	211.1385	286.14285	296.8	339999	253.89102	74.02814	447.44165	-168.0779	-257.2401	110.822784	2021.5573246479034
86	702.94073	320.5536	1499.452	201.48563	1942.5199	840.9434	2839.5662	211.50134	330.83334	706.5	343999	256.48682	74.05223	449.42203	-272.9078	-259.82034	116.57803	2046.496948480606
87	648.4525	436.77487	1603.8175	62.23395	496.72638	300.4849	1280.7758	69.50955	360.45456	194.1	347999	256.6595	73.84551	450.51828	-212.79659	-259.89014	109.378716	2069.861462831497
88	643.75684	540.99286	2263.1301	61.717224	694.891	597.6588	2354.2698	238.42064	269.07144	320.8	351999	257.36865	72.936485	463.96246	-310.86548	-260.57327	110.81417	2093.671962738037
89	1076.809	569.4402	2056.5833	303.24527	855.08875	530.00073	1991.5502	143.59283	510.0	399.4	355999	257.8922	72.973885	446.85532	-145.38002	-261.10992	111.335175	2118.5325984954834
90	1674.2386	983.151	3149.543	340.03665	1554.5958	1269.3562	3571.257	271.00522	671.3333	529.9	359999	258.10684	72.936134	444.8454	-238.5546	-261.17242	109.4356	2142.524831056595
91	1429.6504	978.2385	2884.9658	272.4643	1269.0562	841.00507	2633.5837	121.52403	584.7143	567.7	363999	258.10098	75.09596	458.5525	-525.4499	-261.2818	110.904495	2166.5514891147614
92	1624.6342	1158.6643	3218.6335	45.903603	735.80646	804.72754	2968.1462	131.25992	541.4286	299.2	367999	261.4889	76.69973	448.04886	-228.87903	-264.83417	115.16903	2194.206121444702
93	1066.5613	663.44696	1949.7325	104.71907	1945.2457	1190.3427	3194.9565	130.1951	431.1111	678.1	371999	266.06943	77.21594	461.2191	-192.76317	-269.45172	119.25785	2224.052743911743
94	1798.7355	848.5134	3148.7615	744.22015	894.5327	1005.3128	3061.928	31.961885	705.0	313.9	375999	270.15863	77.012505	460.052	-188.8737	-273.57507	118.866295	2250.7596673965454
95	905.139	837.4419	3115.443	46.51081	1421.1093	1232.9177	3275.6719	229.77446	333.66666	522.5	379999	274.27362	76.82093	479.30347	-194.1025	-277.74594	122.78393	2277.6537294387817
96	629.4795	525.055	1927.7765	12.170563	1435.7067	744.1156	2879.6929	431.4464	238.88235	504.4	383999	277.05917	76.82202	496.13596	-213.54134	-280.47662	124.732635	2305.8971948623657
97	899.3027	983.33984	2879.3125	14.906976	533.4258	68.312256	602.9837	342.44122	344.75	207.3	387999	281.44833	78.20549	525.7916	-266.71948	-284.94913	130.83629	2331.826541185379
98	995.97345	881.2988	3288.037	125.548485	346.90338	401.11035	1401.2383	35.213463	364.54544	160.7	391999	286.20865	78.66222	549.42615	-274.36667	-289.79114	139.2641	2357.3276240825653
99	602.9779	548.96674	2042.7384	2.1950788	468.10327	368.0237	1214.3164	-58.909275	242.3125	197.2	395999	291.31107	79.148544	551.98114	-208.59123	-294.9622	139.49622	2382.2153627872467
100	527.072	508.55496	1448.8066	-47.827435	320.72913	174.23692	769.19934	152.03635	216.05263	131.8	399999	295.95776	79.78577	533.7746	-193.76099	-299.60297	142.91193	2407.3045744895935
