Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time	AVG Time Per Epoch
39	-14.433868	2.6150708	-9.011994	-22.514992	-5.7020264	2.645537	-1.9864559	-10.591138	50.0	50.0	194999	-8.250787	2.755306	7.719089	-20.9663	-8.250599	2.7564003	8.648649	-20.225313	-0.027273687	0.91772354	15.753686	-9.742341	8.2758045	1.6574295	1450.7644288539886	37.19908798046601
40	-14.7103405	2.5524929	-9.558043	-22.272814	-7.3269973	4.071992	-2.5327687	-13.870393	50.0	50.0	199999	-8.24376	2.7361157	6.376996	-21.783907	-8.243915	2.7371662	7.131097	-21.348625	-0.022838296	0.91613865	11.326845	-10.493386	8.271614	1.6442609	1485.0739660263062	37.1268492102623
41	-14.259883	2.4331734	-9.44404	-22.442554	-6.8757033	2.6205497	-4.1140914	-12.105738	50.0	50.0	204999	-8.236339	2.7728274	6.518144	-21.756083	-8.236281	2.7745693	10.997631	-22.042122	-0.028511452	0.91179657	10.330605	-11.117738	8.263371	1.6412139	1519.4674634933472	37.060182088758886
42	-14.13712	2.514386	-8.6119585	-20.733244	-5.808763	2.0022917	-2.4995828	-8.525617	50.0	50.0	209999	-8.2409935	2.7678642	6.588029	-20.683939	-8.240904	2.7693574	8.460546	-21.210827	-0.022008907	0.91302943	7.115138	-10.175596	8.271118	1.6411821	1554.3153245449066	37.00750778402601
43	-14.043038	2.2368119	-9.2186985	-19.604532	-6.3134274	2.7627254	-2.8878691	-13.744892	50.0	50.0	214999	-8.18337	2.7585151	6.635434	-20.58083	-8.183248	2.7608266	11.107544	-20.238691	-0.025536068	0.9155588	9.441624	-10.589174	8.210693	1.6266026	1589.3553364276886	36.96175205984781
44	-14.217876	2.3371966	-9.304716	-19.798777	-6.6719475	1.2318137	-4.1015234	-8.151653	50.0	50.0	219999	-8.133888	2.718357	9.4711075	-24.785732	-8.133759	2.7210424	6.8033423	-23.954004	-0.026344677	0.9113044	9.402656	-11.478901	8.16282	1.6305788	1624.1487488746643	36.91247161410072
45	-14.063122	2.2000093	-10.5522	-19.839956	-5.093322	2.693346	-1.9900912	-10.032995	50.0	50.0	224999	-8.11132	2.686057	6.7592025	-33.39997	-8.111363	2.6878786	9.48161	-27.42743	-0.028519904	0.90722555	9.453183	-11.07705	8.141448	1.6165327	1657.0305178165436	36.822900448905095
46	-13.940747	2.5654187	-9.415274	-23.070684	-6.4155936	2.6743503	-3.2249534	-12.299635	50.0	50.0	229999	-8.124245	2.7036707	6.114254	-21.424541	-8.124034	2.7066705	9.889624	-21.526094	-0.031032104	0.9083696	7.012416	-10.303706	8.154983	1.6207969	1691.4312434196472	36.77024446881336
47	-14.402594	2.2362547	-8.464554	-20.317575	-6.944062	2.8452075	-2.4384599	-10.985257	50.0	50.0	234999	-8.096604	2.7108908	11.921291	-21.291079	-8.096569	2.7125492	7.659849	-21.09394	-0.035375908	0.90465915	11.968105	-10.98459	8.126026	1.6077142	1726.1240458488464	36.72604357435348
48	-14.080822	2.360447	-9.364482	-19.65215	-7.086545	2.3217614	-2.2584913	-10.8021755	50.0	50.0	239999	-8.056532	2.6845834	7.8633423	-22.353039	-8.056473	2.686227	12.826887	-20.391968	-0.03290444	0.90845937	11.181484	-11.129673	8.086231	1.5805172	1760.7678854465485	36.68266432483991
49	-13.868032	2.5035985	-9.02266	-23.397945	-5.7165656	2.0264552	-1.9776433	-8.477446	50.0	50.0	244999	-8.037455	2.6446226	7.542246	-19.833103	-8.037456	2.6453538	9.742317	-20.193785	-0.037567496	0.90376	10.896541	-12.128236	8.067469	1.5902419	1795.254769563675	36.63785247900048
50	-14.591187	2.1103535	-9.511652	-19.48374	-6.1860127	2.029941	-4.286137	-10.834048	50.0	50.0	249999	-8.02614	2.64159	8.877306	-20.683632	-8.02596	2.644526	7.028654	-20.33309	-0.045208357	0.90137225	8.8148	-9.8186655	8.054526	1.5831063	1829.9332835674286	36.59866571903229
51	-14.18615	2.1257432	-8.999643	-18.889452	-7.7898455	2.3523126	-4.4772744	-11.390655	50.0	50.0	254999	-8.010612	2.648876	7.937911	-24.382132	-8.010649	2.6501775	18.572329	-19.673784	-0.045363948	0.9028067	10.434413	-12.043024	8.040215	1.5903201	1864.1602849960327	36.55216249297647
52	-14.192497	2.101111	-9.788146	-20.064468	-6.334929	3.0080335	-2.6913307	-12.886299	50.0	50.0	259999	-7.975263	2.6335182	7.6272154	-19.969751	-7.9751244	2.6348925	7.352337	-20.012934	-0.033249702	0.90543467	9.022312	-11.726593	8.004046	1.5553933	1898.4747505187988	36.509129863518936
