Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageQ3Vals	StdQ3Vals	MaxQ3Vals	MinQ3Vals	LossPi	LossQ	Time	AVG Time Per Epoch
37	6003.91	189.62383	6215.7603	5679.108	6574.0835	68.408676	6739.9355	6484.589	1000.0	1000.0	184999	293.47635	105.31831	427.98096	-73.06798	293.47638	105.314705	427.76587	-75.673935	293.4766	105.31499	426.7019	-67.31831	-295.95203	60.7084	915.9724419116974	24.756012001553096
38	5941.003	93.29505	6086.633	5860.064	6841.949	119.61473	7154.242	6700.76	1000.0	1000.0	189999	300.3048	106.402466	432.0354	-85.63697	300.30466	106.398994	430.92728	-77.23633	300.305	106.39914	432.49353	-77.131935	-302.89227	61.054325	940.7694962024689	24.757092055521515
39	6060.1357	95.070946	6184.0977	5910.7603	6528.691	119.70153	6740.814	6331.6465	1000.0	1000.0	194999	306.89062	107.3009	436.1723	-90.442894	306.89062	107.29869	437.49728	-89.47269	306.89105	107.29871	436.78662	-94.311516	-309.84134	60.5073	965.8174402713776	24.764549805567814
40	6081.866	118.30105	6242.938	5936.2695	6709.3975	49.81033	6798.8467	6641.1553	1000.0	1000.0	199999	313.14594	108.33369	444.2152	-87.57958	313.14554	108.33079	445.31235	-81.56196	313.14548	108.33141	445.88516	-83.89253	-315.80374	61.61061	991.1087110042572	24.777717816829682
41	6061.2793	91.76461	6231.226	5959.5615	6693.6094	93.646904	6793.3423	6551.552	1000.0	1000.0	204999	319.01306	109.37997	450.00513	-94.60001	319.01257	109.378395	448.89163	-100.2848	319.01306	109.377426	449.64648	-95.3424	-321.4834	60.6675	1016.1942229270935	24.78522500177709
42	6166.4976	116.651405	6272.2393	5940.572	7104.0166	95.10664	7274.6206	6971.798	1000.0	1000.0	209999	325.4352	109.949265	453.98874	-111.52826	325.43564	109.9453	454.3647	-108.86327	325.43582	109.94624	454.9986	-107.77213	-328.3998	61.017006	1041.3050336837769	24.792977043560573
43	6258.7217	72.04025	6319.923	6117.6987	7054.0405	90.04596	7170.2915	6890.0015	1000.0	1000.0	214999	331.1864	110.84152	467.3145	-111.16299	331.18542	110.840385	465.9187	-106.93206	331.1862	110.839714	466.48416	-108.392624	-333.73108	61.749786	1066.2838985919952	24.797300017157266
44	6283.2666	113.9696	6414.0874	6107.537	6994.547	67.319466	7140.9536	6897.1274	1000.0	1000.0	219999	336.96048	111.56428	468.7729	-106.98952	336.96033	111.56111	468.55978	-97.88969	336.96008	111.56293	468.50006	-106.19625	-339.32965	61.267086	1091.2899267673492	24.80204383351586
45	6312.2275	151.8083	6562.702	6118.5986	6417.5156	138.91261	6727.2603	6257.795	1000.0	1000.0	224999	342.84726	112.1259	473.85797	-106.602234	342.84714	112.12353	474.83868	-105.85583	342.84714	112.12355	473.53815	-105.62339	-345.8591	61.535645	1116.3066291809082	24.806814029481675
46	6308.458	102.22204	6489.371	6206.764	6209.924	84.350716	6394.58	6050.305	1000.0	1000.0	229999	347.8776	113.26204	482.09766	-125.82553	347.8783	113.25833	481.0959	-110.70448	347.8781	113.25843	480.67404	-118.18904	-350.43372	63.125977	1141.2679302692413	24.81017243862152
47	6368.741	42.708233	6423.1226	6310.7134	6806.462	71.886345	6903.776	6705.568	1000.0	1000.0	234999	353.3864	113.99655	484.76038	-133.58546	353.38602	113.99409	484.57816	-132.15196	353.3863	113.99457	484.905	-120.78426	-356.10468	66.08632	1166.3086276054382	24.81507722874905
48	6391.5195	72.03713	6477.312	6307.9746	7189.841	184.67609	7416.695	6882.533	1000.0	1000.0	239999	357.73697	115.34339	487.4665	-122.89174	357.73642	115.340805	488.17273	-125.21716	357.73685	115.34119	489.3043	-132.69095	-360.5827	65.78061	1191.5758123397827	24.82449613014857
49	6445.738	98.41154	6630.2124	6362.2666	6801.2407	109.75336	7002.273	6600.629	1000.0	1000.0	244999	362.56293	116.19317	493.84106	-109.810265	362.5632	116.190834	493.14273	-110.82592	362.56308	116.190834	492.6012	-105.65276	-365.49915	65.42008	1216.7562873363495	24.831761000107747
50	6400.3154	132.93394	6659.5093	6302.144	7162.675	109.14544	7347.036	6961.6616	1000.0	1000.0	249999	367.2236	117.18798	502.94156	-108.57373	367.2229	117.18731	498.29233	-105.52566	367.22336	117.18604	500.89786	-114.003654	-370.09848	67.020164	1241.6673138141632	24.833346309661867
51	6436.6655	150.0913	6692.6797	6260.7886	7447.139	105.965706	7614.7065	7310.343	1000.0	1000.0	254999	371.63156	118.44862	510.63736	-132.30241	371.63123	118.44709	510.7613	-133.32538	371.63168	118.44607	511.61127	-131.86722	-374.07138	65.34961	1266.405531167984	24.831481040692797
52	6660.7095	148.01657	6878.338	6500.6216	7202.8467	56.466095	7250.205	7095.067	1000.0	1000.0	259999	375.70306	119.64178	514.18665	-153.45891	375.7028	119.64021	514.06274	-134.14891	375.7028	119.63903	512.6449	-136.3522	-378.05597	65.57215	1291.5080213546753	24.83669275045395
53	6542.702	86.773865	6676.2207	6435.987	6917.436	80.474976	7045.157	6766.5825	1000.0	1000.0	264999	380.13644	120.921074	518.231	-99.623505	380.13602	120.920074	516.53424	-97.536644	380.1366	120.91819	517.9186	-101.802345	-382.25186	66.05398	1316.526759147644	24.8401275715738
54	6563.725	154.24596	6786.686	6347.901	7196.875	137.61128	7420.7603	7015.6846	1000.0	1000.0	269999	384.02136	122.3099	519.3602	-113.39815	384.02103	122.30814	519.1305	-103.81636	384.0222	122.305885	518.2088	-109.821556	-386.14734	66.72579	1341.4558503627777	24.841775042039377
55	6610.423	227.44806	6895.377	6336.4917	6811.9087	91.01274	6957.0273	6659.0625	1000.0	1000.0	274999	387.64835	123.681946	521.97034	-116.54539	387.64777	123.68055	521.29297	-118.09984	387.64886	123.678345	522.2593	-128.59846	-390.33542	66.59929	1366.3147566318512	24.842086523229426
56	6608.0015	47.78522	6698.8257	6570.6196	6926.63	68.42313	7076.7812	6807.8833	1000.0	1000.0	279999	391.9444	123.98267	529.3699	-121.474724	391.94427	123.98036	528.49384	-119.74107	391.94495	123.97773	529.3257	-125.61267	-394.54126	66.42099	1391.305909872055	24.844748420374735
57	6610.233	127.48829	6799.041	6422.178	7523.1416	138.1987	7695.4224	7319.8574	1000.0	1000.0	284999	395.1951	125.275505	533.93176	-122.86374	395.19504	125.27388	536.1849	-122.400185	395.1966	125.26905	534.13196	-124.06968	-397.9309	69.01682	1416.123699426651	24.844275466182776
58	6620.328	144.66998	6818.877	6373.29	7606.224	54.401146	7670.077	7468.8423	1000.0	1000.0	289999	398.56314	126.317986	535.3206	-145.35426	398.56326	126.314964	535.4177	-139.4914	398.56567	126.30821	535.74414	-147.2349	-400.90033	67.727165	1441.032757282257	24.845392403931452
59	6789.8447	85.53076	6881.172	6641.3345	7492.693	97.36074	7643.699	7302.3027	1000.0	1000.0	294999	402.10196	126.833626	540.4575	-139.46034	402.1014	126.83267	539.08295	-136.84668	402.1028	126.8279	540.0492	-143.5947	-405.06052	67.85266	1465.9295802116394	24.84626410371166
60	6748.0063	86.34332	6886.511	6618.7554	7143.8994	87.3145	7335.126	6986.4717	1000.0	1000.0	299999	405.4842	127.456505	541.5357	-132.56895	405.48447	127.45378	541.3042	-132.35335	405.48608	127.4481	541.561	-125.59892	-407.50778	68.39061	1490.7392210960388	24.845653716723124
61	6766.448	121.9459	7005.519	6674.348	7032.745	98.878174	7200.9927	6911.629	1000.0	1000.0	304999	408.5327	128.46133	547.0225	-138.93144	408.5318	128.46152	543.18146	-136.06061	408.53293	128.45685	544.55194	-148.4195	-411.62683	68.53479	1515.7218480110168	24.847899178989596
62	6820.6743	99.2776	6989.174	6700.8354	7512.318	70.0025	7653.92	7400.4336	1000.0	1000.0	309999	411.81543	128.71498	547.6871	-152.53464	411.81482	128.71407	546.7227	-149.13736	411.81604	128.71074	547.4621	-142.2736	-414.55145	69.4454	1540.596736907959	24.84833449317563
63	6728.884	53.14132	6812.042	6660.4497	7271.2983	45.211353	7359.7847	7216.353	1000.0	1000.0	314999	415.11942	128.88187	549.89996	-137.5208	415.11942	128.87953	547.94965	-139.40523	415.11917	128.8805	549.53015	-138.53116	-417.60684	70.89061	1565.595710515976	24.850725594021025
64	6830.206	66.63112	6888.393	6743.0073	7235.4346	72.559235	7389.84	7120.8315	1000.0	1000.0	319999	417.97778	129.16891	551.06396	-148.92151	417.9775	129.16827	552.3238	-148.36668	417.97787	129.16803	552.4066	-141.34329	-420.8104	68.20497	1590.800404548645	24.85625635460019
65	6924.8857	99.977455	7033.248	6745.35	7895.9697	78.758545	8051.1636	7794.7275	1000.0	1000.0	324999	421.30603	129.00226	551.8172	-160.67279	421.3062	129.00055	553.82715	-162.16006	421.30585	129.00116	555.616	-169.72188	-423.5772	70.09849	1615.7715837955475	24.85802440276513
66	6841.315	92.7974	6953.722	6684.9414	7512.8228	100.728935	7644.75	7344.125	1000.0	1000.0	329999	423.89044	128.93959	557.5629	-142.78609	423.88995	128.9376	553.2383	-152.8292	423.88943	128.93962	556.4714	-174.17662	-426.38202	69.3291	1640.7241451740265	24.859456777572632
67	6968.4834	59.489548	7083.8228	6919.468	7396.021	78.703415	7530.841	7223.028	1000.0	1000.0	334999	427.0909	128.6725	555.33386	-133.03987	427.09045	128.67188	556.7174	-138.09897	427.09103	128.67072	556.5998	-145.59741	-429.60703	68.771126	1665.764080286026	24.86215048049813
68	6872.007	120.54624	7059.806	6699.809	7547.271	76.49057	7692.2773	7444.07	1000.0	1000.0	339999	429.79263	128.96228	558.9131	-149.3043	429.79288	128.9603	562.08374	-149.38312	429.7928	128.96088	560.06866	-138.43964	-431.98746	67.397385	1690.8543446063995	24.86550509228426
69	6842.0635	60.060574	6951.166	6787.2876	7795.2	111.78497	7954.808	7599.761	1000.0	1000.0	344999	432.80243	128.7502	563.41473	-153.8052	432.80252	128.74815	564.6082	-165.18253	432.80206	128.7491	562.8112	-159.03288	-434.87643	67.994934	1715.8121600151062	24.86684292641239
