Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageQ3Vals	StdQ3Vals	MaxQ3Vals	MinQ3Vals	LossPi	LossQ	Time	AVG Time Per Epoch
28	29.338505	3.803318	35.657597	26.626919	27.632214	2.405951	34.848118	26.727768	3.3023102	3.1	139999	19.843521	9.281289	60.44695	5.8208227	19.84319	9.282324	60.651176	6.0913835	19.84331	9.281244	59.848873	5.9201756	-19.164127	4.3716183	733.3723001480103	26.191867930548533
29	29.349466	3.8055117	35.71627	26.586355	28.384155	3.252374	34.91105	26.638844	3.3040316	3.2	144999	19.783218	9.236675	59.236362	5.2445426	19.783022	9.237294	59.87177	5.514269	19.782663	9.237374	59.726933	6.034683	-19.166359	4.297686	759.7663667201996	26.198840346829645
30	29.33116	3.7991288	35.767166	26.60446	30.018661	3.9497185	34.957558	26.727457	3.3018494	3.4	149999	19.74182	9.189258	57.880917	6.1589317	19.741508	9.190283	58.954258	5.8026876	19.74156	9.189554	58.92389	6.0330205	-19.13284	4.29771	785.8798649311066	26.195995569229126
31	29.173222	3.7241368	35.59305	26.608438	29.221378	3.7281415	34.922222	26.606379	3.282994	3.3	154999	19.743746	9.175936	57.445248	6.1209507	19.743586	9.17619	57.740383	6.3302693	19.743221	9.175892	58.06696	6.5256395	-19.173155	4.201171	812.2821533679962	26.20265018555426
32	29.289852	3.7741764	35.573807	26.614798	29.252583	3.693495	34.92236	26.77279	3.2972972	3.3	159999	19.718885	9.152808	58.542133	5.370228	19.718851	9.153075	59.013905	5.952402	19.718695	9.152612	60.168087	5.894149	-19.138258	4.346467	838.7515454292297	26.210985854268074
33	29.498972	3.8597765	35.5905	26.616508	29.225388	3.6959095	34.939713	26.707727	3.3222592	3.3	164999	19.718122	9.13893	58.481533	6.764898	19.717922	9.1392355	60.03623	6.3315315	19.71769	9.138536	59.90646	5.679142	-19.125443	4.2640452	865.3414771556854	26.22246906974099
34	29.291935	3.7782385	35.627186	26.610386	30.03931	3.980953	34.954556	26.726753	3.2974935	3.4	169999	19.680616	9.118979	57.98875	6.2368236	19.680445	9.119195	58.249302	5.243374	19.680199	9.118634	58.847332	6.1000237	-19.096096	4.337527	891.9011344909668	26.232386364656335
35	29.477797	3.852726	35.588753	26.626064	29.231274	3.699953	34.942574	26.654501	3.320053	3.3	174999	19.671167	9.0908375	57.591255	5.9426985	19.67111	9.091016	58.832344	5.949674	19.670876	9.090965	58.613438	6.03106	-19.075445	4.318138	918.5440952777863	26.244117062432426
36	29.481392	3.8529136	35.63085	26.611734	27.637165	2.4184892	34.89209	26.772638	3.320717	3.1	179999	19.640776	9.073281	57.80922	6.334512	19.640556	9.073523	58.325996	6.0517364	19.640574	9.073039	57.04031	6.439473	-19.041588	4.266708	945.1757514476776	26.254882044262356
37	29.321056	3.7924602	35.66265	26.63173	27.582264	2.451498	34.935562	26.690697	3.301189	3.1	184999	19.6585	9.075461	57.86125	5.758375	19.658384	9.075446	58.83982	6.255089	19.658173	9.075003	58.623833	6.258814	-19.090414	4.3054867	971.9530558586121	26.26900156124218
38	29.486963	3.857791	35.607452	26.622581	27.598663	2.4558556	34.964413	26.699972	3.321381	3.1	189999	19.614761	9.039323	57.35247	6.982958	19.614496	9.039301	58.81926	5.5480113	19.614487	9.039037	58.875114	6.0797014	-19.047474	4.2692194	998.7649445533752	26.28328806475589
