Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
52	1443.5021	931.5949	2617.0928	285.3411	341.00183	8.203179	358.39935	325.31265	578.5	162.8	207999	164.68233	56.92306	284.14517	-179.5758	164.68323	56.91311	288.02603	-141.01411	0.52412134	3.2167022	64.45406	-16.343689	-165.3391	47.53457	1762.692904472351
53	1969.392	900.1915	2858.0837	545.6435	2670.8052	33.725266	2719.1184	2603.8894	719.0	1000.0	211999	165.98938	57.27138	287.38596	-183.52737	165.98965	57.266987	282.7845	-108.07994	0.4869668	3.2849991	75.88397	-14.103792	-166.60812	46.33673	1801.8709104061127
54	1853.8693	870.7335	2625.5664	34.19574	2126.6924	888.32764	2827.4473	229.06868	700.3333	830.5	215999	167.82417	57.074852	285.36255	-134.03398	167.82407	57.07427	283.63382	-112.54559	0.5704067	3.3025966	61.799423	-14.70277	-168.48303	45.833336	1843.631296157837
55	1295.1752	908.30975	2527.5571	30.942415	2391.6755	931.0286	3124.795	530.70917	575.1667	825.5	219999	169.24788	56.970173	288.48203	-140.4028	169.24805	56.967422	285.47067	-107.60989	0.5158676	3.2352164	83.851456	-14.004493	-169.84065	46.56809	1885.5589590072632
56	2148.059	830.05096	2889.771	582.82715	1846.8135	1089.4318	3434.6636	667.75665	772.6667	565.3	223999	170.04602	57.76438	290.23492	-101.162926	170.04604	57.75924	287.84036	-138.9476	0.482356	3.2473664	66.45394	-13.912373	-170.62906	47.751987	1922.311996459961
57	2474.3867	718.4906	3011.4834	1237.0226	2678.4556	21.818453	2730.4944	2645.3018	853.5	1000.0	227999	171.58484	57.983418	290.3639	-95.92292	171.58516	57.98236	293.4802	-111.49022	0.60994005	3.2294347	65.73239	-14.450551	-172.21599	46.306458	1963.0784254074097
58	1720.694	1249.594	2898.008	34.337837	2504.5205	519.1955	2830.297	958.78107	641.7143	937.9	231999	173.34602	58.137012	291.30548	-112.165665	173.34636	58.13598	291.29648	-103.27193	0.5272506	3.256849	64.88702	-14.800512	-173.95218	47.470123	2004.2142081260681
59	2551.3801	211.23384	2851.365	2296.6855	1597.8073	762.09753	2869.588	607.9557	953.25	577.5	235999	174.96706	58.850155	293.224	-154.72841	174.96658	58.852936	295.11517	-89.34683	0.5719299	3.243348	79.60452	-14.694948	-175.55922	46.739105	2041.0342664718628
60	2604.544	329.63168	2883.0654	2060.0999	2949.224	62.20134	3065.1	2863.2527	887.0	1000.0	239999	176.3191	59.564697	296.60513	-96.238686	176.31963	59.56158	297.7966	-103.98111	0.5202609	3.2831001	97.25008	-13.583593	-176.89096	47.839985	2083.9381186962128
61	2059.1755	608.0882	2937.279	1207.2926	2637.6758	835.2543	3081.719	169.7241	739.1667	915.5	243999	177.86342	59.90314	296.5892	-109.2614	177.86221	59.89762	295.46982	-98.586136	0.49937785	3.2324426	56.910995	-13.95907	-178.43665	48.92435	2125.094460964203
62	2580.8613	603.4868	3072.2175	1547.8665	1598.0012	918.866	2764.282	601.8084	891.75	591.6	247999	179.38467	60.40468	304.18338	-132.32628	179.38422	60.402737	305.49258	-106.364	0.538454	3.198624	52.011906	-16.142227	-179.95547	46.861732	2165.1718521118164
63	2836.4172	111.47488	2956.8552	2670.3367	2987.623	32.978966	3014.7844	2896.1785	1000.0	1000.0	251999	181.00032	60.90924	302.463	-173.58093	181.00044	60.90787	304.44684	-154.0421	0.5815931	3.2238774	54.33067	-12.425957	-181.54456	47.096493	2206.7847492694855
64	2560.1584	742.44556	3063.1575	1087.6168	3022.3328	557.0717	3321.4749	1363.6202	882.0	945.1	255999	182.44354	61.61563	303.1161	-117.6058	182.44334	61.61095	307.8179	-115.68661	0.566698	3.1853836	60.640114	-17.146696	-182.97165	45.554	2248.8610360622406
65	2860.0034	131.6214	2990.0908	2658.7751	2063.233	775.08527	2765.4539	695.45514	1000.0	780.1	259999	184.14352	61.84069	304.31256	-121.85045	184.14429	61.83401	303.158	-121.53483	0.68301374	3.2609246	89.08845	-15.690669	-184.70647	49.397327	2289.278711795807
66	2585.8113	498.25494	2906.0813	1723.6912	2747.4158	999.23303	3653.8503	1323.8715	931.5	768.2	263999	185.91019	62.08099	296.9606	-112.70732	185.91078	62.082233	302.9028	-141.06589	0.641245	3.229443	80.076836	-14.047148	-186.46616	47.008312	2331.1650755405426
67	1923.3933	1152.4733	3083.0295	2.9503086	2190.433	967.78564	3263.9033	749.17816	630.7143	682.4	267999	188.01186	62.129055	302.0387	-114.385925	188.0121	62.12613	305.66428	-113.04996	0.6479963	3.2407975	62.757633	-14.041625	-188.55359	47.451435	2371.3626306056976
68	2411.1648	796.0974	3331.246	1302.9077	2891.0942	701.6434	3429.1106	1343.6517	798.4	867.2	271999	189.55846	62.771873	302.6911	-99.10584	189.55876	62.77452	307.929	-88.17836	0.69931024	3.2519612	58.81741	-16.454992	-190.1	47.58839	2411.217116832733
69	2775.965	394.60193	3062.8496	2104.1228	1396.3245	889.73065	3279.1577	742.4422	902.75	438.0	275999	191.34738	63.29102	306.01205	-127.499054	191.34718	63.287727	309.78525	-119.763855	0.7091689	3.2745233	76.43211	-13.851521	-191.88776	47.79794	2449.8812499046326
70	2006.4292	817.53973	2776.2004	746.18805	2912.1812	49.27789	2965.8413	2824.177	658.1667	1000.0	279999	192.77927	63.268135	307.90012	-139.95937	192.78062	63.26205	310.5379	-79.257195	0.7009008	3.247533	68.42304	-14.59902	-193.28151	48.882187	2489.1713106632233
71	3071.257	67.19036	3171.9614	2992.4885	3377.9004	51.47224	3452.9458	3306.639	1000.0	1000.0	283999	194.45822	63.251766	316.7921	-181.21947	194.45824	63.24601	311.15598	-204.994	0.7591973	3.246267	55.913433	-15.842623	-194.97832	50.104374	2527.5420503616333
72	3111.2751	79.56445	3209.021	3009.5168	2743.997	883.3726	3465.8958	1043.7239	1000.0	825.5	287999	196.34404	63.144432	312.38373	-131.18234	196.34392	63.1441	309.95688	-99.31875	0.7855032	3.3631306	61.49884	-15.96912	-196.85287	47.38954	2568.247725725174
73	2718.2427	499.2252	3169.5889	1788.2965	3023.5063	87.68126	3182.268	2892.668	884.6	1000.0	291999	197.7521	63.151913	317.3338	-129.13263	197.7528	63.14829	310.8133	-130.39395	0.7085681	3.282167	61.00257	-16.629112	-198.23515	47.52594	2609.5515773296356
74	2290.1548	946.0163	3122.1377	1001.8929	2925.416	79.65978	3095.644	2824.1338	756.0	1000.0	295999	198.7364	63.637344	315.03763	-242.28253	198.73596	63.636414	310.0566	-193.31921	0.7061089	3.2506769	60.971615	-15.076607	-199.23357	47.878017	2647.872953891754
75	2093.4602	1041.7432	3237.8965	692.397	1573.3928	757.6344	3262.3474	794.5974	678.3333	502.8	299999	200.43578	64.05599	315.2394	-158.37657	200.43578	64.05637	311.76163	-131.75125	0.79749703	3.3065631	81.20749	-14.1117935	-200.97047	48.212303	2684.43754196167
76	2270.1167	968.6477	3136.5632	433.34732	3121.0833	53.26539	3256.6372	3051.749	770.6	1000.0	303999	201.88335	64.411705	318.28363	-99.64454	201.88406	64.41013	319.4117	-171.5481	0.753203	3.313889	67.20554	-14.623766	-202.37054	48.29526	2723.38228058815
77	3036.021	79.984825	3157.1362	2950.842	2715.534	768.7069	3256.424	969.3979	1000.0	852.3	307999	203.82216	64.22234	322.09912	-77.98256	203.82365	64.2197	318.64902	-114.38957	0.79383093	3.368067	50.84047	-17.102192	-204.4174	47.883316	2764.598377466202
78	2976.2708	103.34502	3081.8413	2804.964	2990.981	53.509655	3080.813	2895.2534	1000.0	1000.0	311999	206.64732	63.8995	320.6252	-106.081955	206.64748	63.897114	319.25375	-89.67035	0.89864093	3.3717265	58.155087	-13.348566	-207.3152	48.426914	2812.766040325165
79	3088.8027	100.29212	3250.3975	2975.598	2874.1548	53.09578	2958.4158	2786.9636	1000.0	1000.0	315999	208.65936	63.93871	322.3554	-92.76831	208.66045	63.9326	320.49344	-94.29924	0.7712312	3.331235	72.636185	-14.566707	-209.22614	47.40813	2856.744255065918
80	2883.0786	536.822	3219.2764	1953.6982	3252.6252	36.775993	3341.5015	3205.0193	902.5	1000.0	319999	209.46777	64.39769	323.79282	-86.84016	209.46883	64.3933	322.84827	-102.637794	0.7200203	3.273317	75.403145	-14.26102	-209.94362	46.892204	2900.479181289673
81	3020.5369	302.8711	3268.5198	2435.2117	3391.395	33.326805	3457.04	3352.266	956.2	1000.0	323999	210.10332	65.257675	326.08234	-90.46368	210.10464	65.25616	328.32687	-108.205315	0.75650764	3.3325267	65.20536	-14.524933	-210.55006	46.214542	2947.1413645744324
82	3152.4312	68.77502	3231.2124	3047.9915	1224.5338	815.4526	3447.739	510.61322	1000.0	397.2	327999	211.56334	65.66426	323.91	-167.89755	211.56319	65.664825	322.50488	-121.145485	0.748371	3.3073256	60.49562	-18.374567	-212.02344	48.6315	2989.6143367290497
83	2560.2136	971.6018	3225.3662	882.93097	2603.7556	610.2299	3067.1372	1220.0825	835.5	869.7	331999	213.44464	65.20289	325.86594	-140.94232	213.4446	65.19622	323.24448	-129.82684	0.75909656	3.3508713	74.66758	-14.272343	-213.98279	47.904335	3030.0379297733307
84	3140.1943	137.97545	3334.3435	2951.3457	2843.0127	906.4714	3172.4448	124.1206	1000.0	911.5	335999	215.19743	64.64272	328.68042	-167.91519	215.19852	64.63851	325.99512	-203.52893	0.6686702	3.2564878	63.526623	-13.110529	-215.72046	47.596813	3071.001889228821
85	3136.7993	39.76793	3198.1436	3091.853	3314.1746	33.872677	3353.57	3258.9934	1000.0	1000.0	339999	215.68095	65.73777	330.3937	-165.70174	215.68112	65.73174	330.1734	-161.93579	0.71898305	3.239132	62.194866	-14.372635	-216.16042	47.701824	3113.117780447006
86	2790.5632	829.6016	3269.2817	1133.6344	2902.1074	22.060986	2942.7932	2861.5693	870.4	1000.0	343999	216.43396	66.64014	329.96536	-98.78197	216.43433	66.63549	326.95865	-87.271324	0.72730416	3.2758057	103.88002	-13.042576	-216.85222	46.571022	3154.9015243053436
87	2514.1714	1191.2	3173.556	133.09009	2966.9844	41.444336	3040.1704	2904.4854	818.4	1000.0	347999	217.43112	67.18064	329.59824	-119.60072	217.4318	67.178055	329.06253	-129.44635	0.7317326	3.2761912	55.943253	-15.963772	-217.90572	47.333378	3200.2081503868103
88	3106.0955	225.49188	3287.5974	2732.2021	3171.6375	428.81473	3540.214	2287.1677	958.75	917.7	351999	218.81943	67.45604	335.10464	-198.87361	218.8196	67.45541	333.7163	-103.430954	0.7116593	3.3047795	57.882706	-14.051876	-219.3045	48.436012	3243.6033611297607
89	2931.5415	818.56537	3566.936	1524.7972	3265.2566	60.131332	3387.7693	3164.68	885.25	1000.0	355999	220.52966	67.76275	335.56216	-98.701645	220.5295	67.76198	333.58478	-92.93272	0.6735339	3.2467628	61.115917	-12.771387	-220.97893	46.56285	3284.5973737239838
90	3199.7864	151.85417	3384.8992	2998.1252	3193.3506	41.445763	3249.6025	3110.5186	1000.0	1000.0	359999	221.74982	67.82871	339.90784	-102.01195	221.74942	67.82306	336.76175	-89.06118	0.6938833	3.2277846	60.04013	-13.873106	-222.22813	49.50228	3326.5236904621124
91	3183.6099	33.83345	3221.1816	3132.0667	3221.1218	34.19147	3277.9656	3165.582	1000.0	1000.0	363999	223.25465	68.22016	339.4437	-139.62738	223.25491	68.21931	340.0941	-193.21873	0.6971437	3.239425	57.067017	-13.728735	-223.7529	46.832806	3366.3217720985413
92	3311.1953	62.184345	3399.431	3223.6743	3025.9578	27.864122	3072.8337	2977.6624	1000.0	1000.0	367999	225.01189	68.87895	342.1573	-192.73445	225.01183	68.878586	340.2278	-97.16191	0.81525	3.2514658	74.192665	-13.2270775	-225.50262	48.303886	3406.2482266426086
93	2671.9524	1173.0863	3329.61	328.82126	1923.0746	1443.3032	3137.827	126.019264	836.8	642.3	371999	226.87202	69.00228	343.4324	-99.57701	226.87242	68.996925	338.89474	-77.33824	0.79481167	3.2595992	64.62945	-14.455479	-227.39667	48.25241	3447.8491775989532
94	3242.7122	74.52617	3340.1128	3132.1853	2522.519	1538.5092	3598.6868	126.65426	1000.0	731.2	375999	227.71846	69.57402	345.4113	-88.38973	227.71756	69.57258	341.9937	-139.37195	0.8628697	3.2942815	67.77909	-13.250345	-228.15813	49.747597	3486.1630239486694
95	3153.1497	189.41951	3406.1516	2879.2637	3359.0854	25.258133	3418.1365	3319.1658	957.0	1000.0	379999	229.01012	69.737144	347.16583	-104.90577	229.01035	69.73509	344.31635	-90.57205	0.8578551	3.260789	76.745804	-14.348737	-229.46965	47.32572	3530.6443433761597
