Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time	AVG Time Per Epoch
45	6421.448	19.76328	6449.4873	6403.465	7094.206	94.04999	7226.208	6883.524	1000.0	1000.0	224999	460.45236	109.794044	568.01044	15.292496	460.45215	109.79446	570.69214	21.402405	3.3517742	4.4195447	45.283825	-15.194914	-460.2729	19.062279	1746.698804616928	38.815529033872814
46	5401.2656	2145.6392	6607.52	1112.4236	6258.708	1746.3105	7238.2466	1850.2964	1000.0	1000.0	229999	463.63272	110.76111	574.2448	11.899798	463.63312	110.76173	572.2095	-2.7089062	3.33485	4.421474	40.048042	-13.822582	-463.4365	19.184645	1788.1086084842682	38.871926318044245
47	6697.193	129.919	6788.0757	6441.321	6968.2227	95.08874	7145.3286	6841.243	1000.0	1000.0	234999	466.59277	112.29631	575.7439	-4.799796	466.59247	112.296425	575.8702	-8.165516	3.3800013	4.4407887	67.1497	-13.035874	-466.3929	20.168924	1828.977596282959	38.9144169827725
48	6700.456	59.116867	6793.7266	6611.782	7361.8423	182.0869	7653.6143	7112.1655	1000.0	1000.0	239999	470.17633	112.50713	583.8167	0.43224525	470.17645	112.50718	581.45703	5.4579062	3.4209516	4.4492297	63.688087	-14.896764	-469.9796	20.618029	1869.4500017166138	38.94687508046627
49	6682.5596	74.400604	6782.473	6557.8486	7234.45	73.44055	7361.7075	7091.508	1000.0	1000.0	244999	474.47522	111.98684	582.6184	-6.5495887	474.47513	111.98714	587.7412	-7.8045692	3.558623	4.4423656	54.34774	-12.791216	-474.2958	21.234766	1911.6510741710663	39.01328726204074
50	6257.8047	846.98645	6705.5386	4564.684	7465.404	113.57517	7631.625	7226.8247	1000.0	1000.0	249999	478.12192	113.22158	588.0745	-42.483818	478.12192	113.2224	591.3086	-47.642647	3.6104705	4.4618206	49.68279	-13.712996	-477.92465	22.182459	1954.5523891448975	39.091047821044924
51	6431.2036	1042.2385	7009.128	4347.672	6656.0654	1954.3728	7447.6777	798.10406	1000.0	1000.0	254999	481.8291	114.31001	594.54266	-109.691086	481.8292	114.31068	593.85345	-104.88708	3.6828496	4.4827657	52.414436	-14.379202	-481.6373	24.992466	1995.3030014038086	39.123588304893644
52	5634.758	1578.6606	7000.948	2889.8235	7647.676	74.74187	7754.3325	7531.1035	1000.0	1000.0	259999	484.36752	116.57225	602.02496	-153.66776	484.36728	116.57267	603.1746	-134.40765	3.650577	4.5172486	97.4436	-13.921685	-484.1401	27.426418	2031.8291451931	39.07363744882437
53	6921.5303	133.35782	7030.8247	6660.948	7647.8735	110.57176	7779.534	7382.4893	1000.0	1000.0	264999	486.8154	118.758026	606.57904	-111.42503	486.8156	118.757614	609.0104	-117.17112	3.7767165	4.5087714	71.30631	-12.342195	-486.5823	28.112734	2068.9352061748505	39.03651336453996
54	6983.383	217.67436	7247.5815	6586.876	7684.4346	80.370476	7791.764	7514.035	1000.0	1000.0	269999	490.78714	118.57032	619.2921	-152.57399	490.7871	118.57075	618.3372	-152.04121	3.7805796	4.513789	78.56591	-13.277991	-490.57285	27.753012	2110.0476472377777	39.07495647006564
55	7209.495	112.13729	7362.0356	7045.4043	7857.4443	135.38669	8089.288	7659.5146	1000.0	1000.0	274999	494.48557	119.25639	631.5384	-110.675354	494.48572	119.25851	630.4519	-134.91144	3.8860888	4.5578737	48.977577	-14.747125	-494.24936	31.138391	2151.1650171279907	39.11209125952287
56	6959.126	753.1569	7560.4517	5482.1743	7851.5547	76.824585	7960.479	7727.0117	1000.0	1000.0	279999	498.37308	119.940605	630.05457	-144.75424	498.37308	119.94165	632.3556	-125.373726	3.9213696	4.5260015	51.38398	-12.745499	-498.15485	30.38545	2191.417597055435	39.132457124335424
57	7185.767	152.46713	7458.9766	7005.4263	7836.3125	95.24975	7958.126	7625.0586	1000.0	1000.0	284999	502.2114	120.62988	636.774	-99.90626	502.2116	120.63024	638.7169	-87.995575	3.9680574	4.5613365	71.249756	-13.713442	-501.9852	30.9267	2230.6960623264313	39.13501866658529
58	7452.311	56.065735	7542.811	7378.551	7976.0576	92.805664	8119.3	7844.733	1000.0	1000.0	289999	506.36426	120.98384	649.2565	-92.71108	506.3643	120.98541	648.3503	-106.15543	4.043443	4.5426707	61.290184	-13.184318	-506.1552	32.10963	2269.159506559372	39.123439801150354
59	7587.703	74.83734	7682.3765	7490.465	6430.659	1980.0128	7637.279	1887.4858	1000.0	1000.0	294999	511.10397	121.37663	657.9517	-85.08173	511.1037	121.37736	664.0107	-88.304924	4.174208	4.5639534	52.47574	-13.970375	-510.8983	31.72673	2307.256236553192	39.106037940009166
60	7697.586	103.10703	7840.1987	7555.412	8241.1875	668.1615	8617.005	6265.891	1000.0	1000.0	299999	516.5488	121.35968	663.44995	-145.8254	516.5486	121.36071	664.87054	-132.83562	4.2832046	4.5981584	57.746082	-14.003901	-516.3716	34.42344	2344.2426137924194	39.07071026563644
61	7627.1025	90.007675	7766.3955	7503.007	8009.8438	86.065475	8147.9214	7901.521	1000.0	1000.0	304999	520.92633	122.50637	665.07275	-159.43257	520.9266	122.50589	667.29913	-128.52977	4.297116	4.5909443	53.42225	-14.024902	-520.7165	34.751217	2381.7498891353607	39.04508018102802
62	7770.172	131.74525	7975.783	7576.346	8154.177	117.17276	8349.135	7980.123	1000.0	1000.0	309999	525.7258	123.05915	675.0246	-95.395996	525.7258	123.05997	675.551	-97.758026	4.4114904	4.6009607	52.301487	-15.741118	-525.5291	35.673138	2422.6678891181946	39.0752885764645
63	7974.2695	159.21596	8152.072	7717.789	8180.5986	125.589195	8455.874	7977.1875	1000.0	1000.0	314999	530.42474	123.667076	688.57275	-89.57284	530.42474	123.66666	686.0842	-96.54877	4.4847803	4.6183653	47.79685	-12.983025	-530.2176	35.95597	2462.1378037929535	39.08155247521779
64	8040.4854	71.806145	8120.6675	7951.872	7981.879	2163.5315	8911.716	1500.9064	1000.0	1000.0	319999	535.7334	123.65385	689.7668	-81.83116	535.73346	123.65493	687.78375	-80.95884	4.605914	4.641691	75.94319	-16.41208	-535.568	36.927555	2503.276515722275	39.113695587962866
65	7092.379	1450.4629	8399.783	4924.372	8387.92	260.84247	8681.207	7701.1895	1000.0	1000.0	324999	540.7035	125.000755	701.14844	-71.46906	540.7037	125.00036	703.05676	-66.761185	4.6416364	4.644614	80.03567	-11.985941	-540.5239	37.820057	2541.1495792865753	39.09460894144498
66	7050.2017	2548.2266	8459.774	1957.6616	8870.908	155.25842	9149.243	8657.064	1000.0	1000.0	329999	544.2054	128.49081	705.7403	-117.850624	544.20483	128.49216	705.6541	-144.49258	4.7090387	4.6540403	89.062225	-14.496799	-544.0413	43.668446	2577.8090064525604	39.057712244265005
67	8050.7666	174.86465	8282.378	7781.9253	7994.961	1318.4447	8907.275	5252.0815	1000.0	1000.0	334999	548.6071	130.20116	711.70264	-80.145004	548.60724	130.20187	712.3038	-73.31416	4.772399	4.6868024	76.70942	-12.404237	-548.4475	41.03035	2614.317093849182	39.01965814917835
68	7997.9326	1111.9879	8724.423	5788.698	8716.0625	120.13162	8888.725	8554.378	1000.0	1000.0	339999	552.8915	131.58978	724.75336	-152.90549	552.89136	131.58978	722.4754	-186.99904	4.821417	4.708553	124.655075	-13.747442	-552.7088	45.481953	2650.7585413455963	38.9817432866377
69	8475.013	59.495773	8561.606	8394.754	8824.037	1197.8363	9553.267	5284.6074	1000.0	1000.0	344999	557.59015	132.34235	732.81036	-183.71796	557.58984	132.34224	726.22845	-205.82243	4.891809	4.722818	66.98712	-13.143929	-557.4036	47.717167	2687.2364344596863	38.94545560297759
70	8503.977	231.80031	8734.906	8183.561	8670.596	1241.8087	9457.673	5446.7153	1000.0	1000.0	349999	561.8904	132.57455	729.7706	-208.52097	561.89044	132.57434	730.3526	-191.62779	4.9537554	4.7509117	66.06575	-15.267308	-561.685	48.538414	2728.06916308403	38.972416639328
71	5938.8135	3252.2798	8743.148	1686.8546	8587.459	183.98358	8814.114	8134.426	1000.0	1000.0	354999	564.8453	135.19673	736.8955	-355.97342	564.84564	135.19547	738.54865	-233.08109	4.9895926	4.7654967	109.2478	-12.016108	-564.6409	52.861263	2768.271542787552	38.98974006948337
72	8548.422	175.69269	8820.381	8307.851	8997.459	65.75599	9118.931	8900.161	1000.0	1000.0	359999	567.1844	139.49359	741.3701	-185.99669	567.18414	139.49326	739.2953	-194.5785	5.0296745	4.750756	81.13836	-14.380334	-566.99286	53.73464	2806.8847136497498	38.98450993829303
73	8713.885	350.1278	9209.147	8304.438	8966.643	134.12473	9208.613	8786.396	1000.0	1000.0	364999	572.198	139.55136	743.9825	-178.65337	572.19727	139.5553	748.31573	-243.28954	5.1895065	4.7931786	65.862495	-13.637447	-572.007	58.177338	2848.8747482299805	39.025681511996545
