Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
60	570.2765	573.869	2409.989	10.487649	37.6561	7.863185	44.24299	25.62199	184.40741	32.2	299999	347.20734	51.978214	461.67947	-318.86136	-350.21484	106.6313	2509.4494466781616
61	732.25336	427.4124	1499.1716	3.9601743	491.94745	299.704	1081.903	224.45508	239.80952	167.4	304999	350.3476	49.68619	480.05725	-290.5235	-353.27875	103.846756	2553.2926042079926
62	383.9729	452.76584	1530.3953	7.3510528	61.032734	5.9469686	72.78566	56.111286	132.71053	34.2	309999	352.1422	47.53548	480.26636	-202.55714	-354.93866	109.109215	2596.87481546402
63	796.5794	877.5134	4000.6777	2.355212	279.4655	231.98619	797.4402	58.885952	230.2381	106.1	314999	350.9386	48.780655	475.2731	-174.22833	-353.6311	105.60013	2639.2429814338684
64	473.29614	517.7546	1834.1444	16.424662	713.7894	577.9618	1643.209	55.934235	152.66667	206.4	319999	352.0747	49.226265	470.02032	-208.42253	-354.81934	106.41205	2683.6838657855988
65	436.84003	373.0144	1238.9772	-0.51861316	379.0646	500.918	1449.8685	4.925954	142.61111	157.7	324999	355.70218	51.12773	479.35162	-254.79668	-358.60126	111.09064	2728.6013720035553
66	648.02716	809.1085	2889.806	9.660526	642.3243	623.2944	2260.171	65.28663	196.33333	217.3	329999	360.0604	53.10644	487.08353	-247.74588	-362.98575	117.75627	2769.7652966976166
67	519.0549	716.6544	2577.2334	14.609362	318.21942	699.70374	2360.549	19.116228	167.67741	102.4	334999	364.21704	54.460815	500.90555	-298.37527	-367.14185	119.1126	2813.9171113967896
68	481.71524	530.4968	1923.3162	11.953979	643.93866	423.2431	1546.8496	67.53735	153.32259	176.3	339999	366.56854	54.65941	501.38416	-272.85315	-369.2916	118.56759	2858.4114339351654
69	652.1598	646.1643	2776.9775	19.78946	954.61414	405.57614	1922.7305	479.66803	181.14285	234.8	344999	370.84723	54.81219	505.65976	-251.25937	-373.7499	119.79828	2903.2589502334595
70	633.27405	625.16205	2323.7156	19.312822	326.76324	444.69214	1599.3164	91.50508	184.25	100.5	349999	374.80988	54.759357	501.3756	-215.73833	-377.65662	125.82527	2945.5407421588898
71	769.9829	540.41345	1910.8983	21.67007	617.8581	956.7672	3357.924	42.85503	210.04167	168.8	354999	377.7559	54.924892	500.32446	-201.96744	-380.5684	125.12575	2990.66210269928
72	437.93338	566.2739	2161.813	-8.046451	20.864292	1.0491998	23.411802	19.710752	131.55263	25.1	359999	379.89633	56.03823	507.1356	-173.30762	-382.7813	126.62665	3035.295373439789
73	404.59003	465.27707	1912.7681	29.055534	2186.2522	1289.1931	4383.6465	596.65576	130.77142	507.5	364999	383.49533	55.103676	514.95386	-233.2439	-386.4008	130.55067	3080.452078819275
74	883.1934	1200.3326	4819.2153	28.953466	1011.94806	826.3728	3041.2988	256.06113	236.13043	301.8	369999	386.6895	54.081158	515.47394	-256.3485	-389.4995	126.250984	3124.9200785160065
75	375.88208	344.72162	1455.7743	9.118016	302.83716	341.38345	1216.0355	35.742657	128.46153	239.2	374999	388.87988	53.930714	518.49927	-235.38058	-391.74805	133.0035	3169.0711183547974
76	916.99414	833.9805	2921.126	145.46384	21.38111	6.5872335	34.04735	7.868324	289.0	25.3	379999	393.1381	56.25866	530.04736	-209.59058	-396.05447	132.61795	3213.997874736786
77	474.10986	398.0244	1565.2953	27.153366	2212.5398	1306.2736	4242.8516	188.5179	137.45946	553.7	384999	396.77625	57.448326	531.8108	-204.90431	-399.5294	133.75826	3259.8784058094025
