Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageQ3Vals	StdQ3Vals	MaxQ3Vals	MinQ3Vals	LossPi	LossQ	Time	AVG Time Per Epoch
35	-8.893391	2.714429	-3.479312	-14.576781	-9.078187	2.9569614	-3.4881876	-13.956657	50.0	50.0	174999	-9.787932	3.2545364	5.8323393	-28.067213	-9.78778	3.2549984	7.4053345	-27.603584	-9.787848	3.256149	11.024589	-27.870903	9.461573	3.8110237	911.4662299156189	26.041892344611032
36	-9.580404	2.999507	-2.5417235	-16.687208	-8.437431	2.5888364	-5.2429185	-14.013967	50.0	50.0	179999	-9.753774	3.250214	6.7947783	-27.21167	-9.75379	3.2506719	7.2582035	-27.53408	-9.75375	3.2504816	8.076811	-27.029083	9.440184	3.7617953	937.8957707881927	26.052660352653927
37	-9.844753	3.041361	-2.8063796	-20.897177	-7.583103	3.6257308	-1.9159397	-11.501009	50.0	50.0	184999	-9.702066	3.2549593	7.727014	-27.99588	-9.702065	3.255831	15.910255	-26.482552	-9.702189	3.2574594	10.284571	-26.134228	9.399954	3.7084048	964.1172707080841	26.05722359064463
38	-8.734251	2.8064191	-2.4425364	-15.462263	-8.262876	2.71253	-4.001606	-14.0962	50.0	50.0	189999	-9.64518	3.2536666	9.693143	-27.395927	-9.645173	3.2547002	9.91851	-29.703362	-9.645309	3.2541213	14.137213	-26.438	9.354793	3.6406171	990.2132043838501	26.05824227082102
39	-9.74712	3.103834	-2.8292327	-18.670193	-6.7903547	3.533859	-1.5579035	-12.284921	50.0	50.0	194999	-9.616093	3.2508564	5.5496664	-27.294266	-9.616037	3.2528458	12.02056	-28.098227	-9.616259	3.2522829	7.3921657	-26.42544	9.3213415	3.6038504	1016.2377688884735	26.057378744467712
40	-9.128354	3.1422637	-3.299953	-18.223705	-10.373351	2.4434884	-6.1735325	-15.50243	50.0	50.0	199999	-9.562506	3.2596378	5.9035034	-27.235067	-9.56256	3.2606995	11.131868	-27.860672	-9.562429	3.2620459	13.46464	-25.915974	9.279105	3.576377	1042.3667986392975	26.05917000770569
41	-10.1297865	3.7901359	-3.613945	-24.643507	-8.796588	2.8923244	-3.488259	-14.69196	50.0	50.0	204999	-9.502531	3.249568	11.260192	-27.35933	-9.502727	3.2513506	10.000572	-27.541124	-9.502648	3.2511628	11.19103	-27.16029	9.22793	3.633917	1068.5949416160583	26.063291311264038
42	-9.315325	3.601385	-1.6916436	-19.336569	-8.28848	4.434938	-2.2778494	-18.611977	50.0	50.0	209999	-9.42765	3.241146	10.285749	-26.781994	-9.427527	3.2416496	6.7985334	-27.871223	-9.427626	3.2415998	7.779043	-26.501179	9.145385	3.5508864	1094.6828627586365	26.0638777301425
43	-10.767986	5.436565	-3.0746536	-49.484867	-8.840174	4.062738	-3.3233385	-15.673789	50.0	50.0	214999	-9.417306	3.1952899	11.292672	-30.233051	-9.417352	3.196618	13.84752	-28.886793	-9.417309	3.196785	6.2142215	-29.37814	9.151196	3.646496	1121.0072894096375	26.06993700737177
44	-10.047468	3.5707831	-2.9855645	-18.14483	-7.719073	3.2470746	-4.3703303	-13.104481	50.0	50.0	219999	-9.384097	3.1984072	9.953085	-30.03469	-9.383969	3.2010424	8.19133	-30.543325	-9.38418	3.1996908	7.752322	-31.490507	9.115275	3.5209477	1147.3618433475494	26.076405579393562
45	-10.000468	3.8266418	-2.6281188	-18.385757	-9.10689	2.3736987	-4.7639327	-12.366341	50.0	50.0	224999	-9.343641	3.1997333	12.739991	-30.48387	-9.343585	3.2010329	12.866058	-30.523876	-9.343655	3.2017903	12.3752365	-29.769815	9.088434	3.5089602	1173.781905412674	26.08404239018758
46	-10.114237	4.1170893	-2.6883488	-18.209152	-7.2479463	3.1434774	-2.4148967	-11.606094	50.0	50.0	229999	-9.307903	3.182893	9.101381	-33.74299	-9.307809	3.1849475	8.4883795	-31.831799	-9.308041	3.1845117	12.962718	-30.912157	9.046142	3.510922	1200.148716211319	26.090189529501874
47	-9.690094	3.7799692	-2.2801244	-18.444088	-12.210292	4.1002874	-4.8911667	-17.546564	50.0	50.0	234999	-9.284211	3.2131157	8.482919	-29.553408	-9.284202	3.2136352	10.241651	-30.600702	-9.284322	3.2151632	12.606606	-29.215624	9.042058	3.4847949	1226.245811700821	26.09033645974829
48	-10.132058	3.5413344	-2.8695261	-17.734093	-10.0897255	2.9864967	-4.4470987	-15.986335	50.0	50.0	239999	-9.256801	3.2099123	17.296	-29.549473	-9.256743	3.2108715	7.31796	-29.947935	-9.256893	3.2114024	10.744137	-31.260202	9.006165	3.4902093	1252.3887555599213	26.091432442267735
49	-9.847629	3.5851674	-2.7384229	-18.837439	-9.417813	4.02211	-3.9931362	-15.41123	50.0	50.0	244999	-9.226677	3.214429	7.797671	-29.28786	-9.226632	3.2168572	12.549699	-30.311089	-9.226533	3.2171185	11.346083	-29.311022	8.972289	3.424861	1278.6663858890533	26.09523240887389
50	-9.825098	3.6801736	-2.326826	-17.84054	-8.038744	3.2723927	-3.8076313	-14.124374	50.0	50.0	249999	-9.172532	3.191073	13.554319	-28.054361	-9.172617	3.1909955	9.020878	-30.183762	-9.172474	3.1918926	9.019326	-27.666168	8.905428	3.3686652	1304.7787070274353	26.095574173927307
51	-9.958074	3.241911	-3.1925337	-17.156889	-8.613276	6.5830407	-1.1716348	-18.439463	50.0	50.0	254999	-9.110527	3.1498408	9.794708	-28.060131	-9.110388	3.1509407	9.479562	-29.040623	-9.110603	3.1510704	11.746899	-27.670134	8.864873	3.3831625	1330.9994764328003	26.098028987061742
52	-10.373709	3.5037773	-3.8617404	-17.821308	-9.10137	4.287869	-1.0760987	-14.156677	50.0	50.0	259999	-9.065717	3.1107244	8.848918	-27.835718	-9.065814	3.1116223	9.49969	-27.624546	-9.065516	3.1127627	7.567601	-27.445982	8.827362	3.3062155	1357.1723818778992	26.099468918947075
53	-10.0501175	3.8011515	-2.627029	-18.883942	-8.19058	2.9403493	-4.251816	-13.154198	50.0	50.0	264999	-9.025489	3.082706	11.437649	-28.034515	-9.025545	3.0833445	10.087218	-29.23966	-9.025354	3.0844646	9.692284	-27.592018	8.785681	3.2751288	1383.2014288902283	26.098140212724793
54	-10.473149	3.6132238	-2.8885627	-17.58485	-8.135469	2.552996	-3.7786436	-12.937323	50.0	50.0	269999	-8.991355	3.0601475	16.977938	-26.990902	-8.991395	3.060437	7.539575	-27.37249	-8.991288	3.0612803	13.759745	-27.666515	8.752844	3.2023606	1409.2300207614899	26.096852271645158
55	-9.755377	3.4037564	-2.4785848	-17.6743	-7.7707872	3.2562644	-3.6182923	-13.909999	50.0	50.0	274999	-8.946955	3.043449	12.649364	-26.977896	-8.946851	3.0436277	10.702501	-26.720346	-8.946686	3.0443099	9.46604	-27.648447	8.710792	3.1904724	1435.3791842460632	26.097803380272605
56	-10.059639	3.839763	-2.4526415	-18.125154	-9.523264	2.4560764	-4.6740203	-14.217138	50.0	50.0	279999	-8.901171	3.0538142	15.911453	-26.23213	-8.901345	3.053637	7.6941366	-29.480751	-8.901349	3.0546324	14.961344	-26.709791	8.663452	3.1902728	1461.263023853302	26.09398260286876
57	-9.722933	3.6770747	-2.0878637	-17.849958	-10.314232	3.8470514	-4.869702	-16.089874	50.0	50.0	284999	-8.83876	3.0629032	18.80709	-26.960825	-8.838797	3.064451	11.962414	-26.62586	-8.838748	3.0637739	8.71496	-27.051565	8.613223	3.1308393	1487.190078496933	26.091054037997598
58	-10.020061	3.1442394	-2.835394	-20.305271	-6.6976724	3.1220698	-1.8681576	-13.771618	50.0	50.0	289999	-8.792037	3.098844	13.745119	-27.56071	-8.791923	3.1002116	11.1935425	-28.715508	-8.791953	3.100673	11.50261	-27.733183	8.568298	3.121014	1513.3885419368744	26.092905932459338
