Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time	AVG Time Per Epoch
43	3167.1614	17.974686	3194.5254	3143.02	3201.7344	3.6018424	3207.5288	3196.0962	1000.0	1000.0	214999	239.3405	64.53545	313.06717	-153.43909	239.34035	64.53909	311.05417	-141.45543	0.5745066	2.2786343	37.7455	-13.749426	-240.17383	32.114918	1533.3277003765106	35.65878377958786
44	3129.3853	55.710587	3187.528	3045.657	3109.3347	1.3693839	3112.0583	3107.351	1000.0	1000.0	219999	241.52962	64.659424	312.68652	-135.71861	241.52974	64.66653	312.27393	-127.93004	0.6217309	2.2980118	38.950665	-10.896841	-242.3786	33.30089	1570.6824469566345	35.697328394109554
45	3180.4807	21.40318	3214.6018	3154.0496	3248.4216	3.33236	3252.0242	3243.7212	1000.0	1000.0	224999	244.16145	64.47358	314.88565	-106.83782	244.16174	64.47861	314.94446	-125.15294	0.6232091	2.2838688	37.96271	-11.384836	-244.99075	32.60156	1608.2019197940826	35.7378204981486
46	3147.1655	48.858624	3225.8755	3076.2944	3219.6204	3.7804482	3227.4014	3214.5981	1000.0	1000.0	229999	246.2359	64.72341	316.57956	-104.740105	246.23555	64.73349	316.79498	-181.37488	0.5902995	2.2920284	48.731598	-17.317799	-247.069	32.056183	1646.0583765506744	35.78387779774873
47	3010.2349	285.49002	3187.2532	2442.661	3243.7605	2.2030303	3248.4097	3240.2947	947.2	1000.0	234999	248.37567	64.78547	319.63214	-130.81888	248.37526	64.7918	318.4871	-92.46694	0.55218077	2.2448795	46.1601	-16.563314	-249.15602	33.784527	1683.7172329425812	35.82377095932656
48	3169.4849	34.560856	3214.6392	3119.571	3145.5513	4.5424857	3154.604	3137.5981	1000.0	1000.0	239999	250.28369	64.62545	319.8904	-118.62549	250.28313	64.63068	319.85947	-221.97945	0.5260323	2.2339113	46.021225	-10.601401	-251.04477	33.889378	1721.3300638198853	35.861043040951095
49	3199.8027	18.182337	3211.084	3163.5525	3171.109	27.779121	3231.3447	3139.6138	1000.0	1000.0	244999	252.02266	64.53495	320.83032	-155.04387	252.02249	64.54117	321.91956	-148.59598	0.54832095	2.233289	34.20185	-11.451961	-252.80043	33.1661	1758.6901841163635	35.89163644459783
50	2995.6575	397.8301	3247.1975	2110.5122	3204.0496	1.8149551	3206.298	3199.6519	938.8333	1000.0	249999	253.34993	64.989525	322.5995	-120.88702	253.34991	64.99845	324.34683	-108.71351	0.5109036	2.228869	38.83813	-11.671411	-254.09673	32.221478	1796.3209283351898	35.92641860961914
51	3180.4634	37.768085	3215.7866	3129.8008	3237.648	0.9105705	3239.001	3236.3518	1000.0	1000.0	254999	254.86966	64.57081	324.99673	-157.12308	254.86989	64.57386	324.99414	-114.52436	0.51800615	2.2490945	42.08682	-14.004225	-255.6068	33.02969	1833.5384414196014	35.951734182881374
52	2735.0671	908.87946	3221.0503	917.8812	3321.4478	18.413025	3356.3682	3296.2334	862.8	1000.0	259999	256.76166	64.522316	324.38184	-91.63416	256.7616	64.532646	324.8134	-169.90308	0.52501047	2.2208078	38.290054	-14.867003	-257.49054	31.938963	1870.9447531700134	35.97970683299578
