Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	Time Steps	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
55	590.45966	479.2451	1778.7776	118.16239	132.71938	42.230927	255.97783	103.3844	300.94116	67.6	274999	375.66788	99.28312	629.1636	-270.26056	-381.1234	310.4098	1327.9326272010803
56	469.6645	278.2018	1135.5825	93.922676	238.45003	212.8542	779.58026	123.684006	212.21739	111.5	279999	378.7214	99.782104	673.3344	-1078.4584	-384.3097	331.98816	1352.8528878688812
57	444.09473	330.4635	1271.1938	100.00703	909.3141	733.2139	2323.6404	189.1214	228.09091	399.1	284999	386.01	103.393654	677.94037	-365.95383	-391.9325	342.16504	1378.8206646442413
58	474.62833	345.38495	1212.768	69.83698	681.5423	262.91626	1238.4244	363.59973	216.78261	228.9	289999	399.59842	105.307106	692.1063	-346.63895	-405.7479	346.89056	1404.0542182922363
59	556.02045	568.8487	1950.0194	59.96742	915.1257	624.94916	2314.1506	278.06686	227.66667	430.5	294999	410.83218	106.50184	670.82544	-295.36325	-416.96457	387.85745	1429.9311661720276
60	660.25574	624.46924	2724.5522	154.39748	613.4933	448.00958	1480.3947	143.76918	261.7	292.5	299999	412.9825	104.22501	646.068	-519.98456	-419.0499	383.95844	1455.3055176734924
61	690.8991	586.3936	1994.1517	-15.309068	512.1293	518.27893	1263.7311	77.50162	289.94116	199.4	304999	417.42322	102.880066	644.7892	-670.20233	-423.4948	366.6274	1480.9039859771729
62	522.2196	567.61255	2240.1462	-44.99359	179.50542	311.7987	826.298	-57.02908	264.52942	186.8	309999	418.0134	99.738205	630.6119	-334.88058	-423.8513	364.04092	1505.4482412338257
63	776.15204	656.54114	2444.7324	26.846085	1473.9753	851.37823	3358.9543	327.58905	311.17648	486.2	314999	415.09427	98.20272	650.61597	-452.2166	-420.73444	356.9118	1530.979016304016
64	1144.971	745.8851	2855.5378	87.37997	1784.2078	946.4404	3331.9062	708.61584	396.69232	537.9	319999	414.00967	97.59469	638.2952	-316.1975	-419.7915	358.28055	1557.2681710720062
65	733.95197	513.4804	1725.2592	90.42551	618.3651	548.9039	1795.7993	71.16579	258.3684	363.3	324999	420.36606	98.53707	636.74243	-310.8169	-426.3877	365.01276	1583.5795938968658
66	631.9961	331.2374	1454.8894	45.226364	123.23088	8.839104	135.80598	108.24943	247.8	63.3	329999	423.20914	97.16503	648.2231	-426.73828	-429.0674	376.3784	1608.2646231651306
67	700.8877	632.9618	1965.0735	26.830397	903.215	820.96686	2985.6638	124.15608	258.45	343.0	334999	423.1553	97.86418	632.9285	-287.7368	-428.88556	375.03564	1634.4391403198242
68	1095.4652	445.30396	2210.858	557.291	1118.4392	520.07965	2068.9941	377.06152	403.58334	339.3	339999	420.84	96.27779	630.43225	-357.08377	-426.48065	373.4774	1660.3935940265656
69	823.29755	748.03064	2300.4868	89.30543	635.5303	746.0679	2620.055	52.3771	331.7143	251.2	344999	421.1109	95.37205	616.5719	-429.69788	-426.7802	363.12305	1685.9113919734955
70	1087.061	817.8734	2764.2712	117.05542	1392.3679	881.671	2393.6333	209.18083	429.76923	573.1	349999	425.51175	96.270836	629.42316	-288.12433	-431.3286	362.24405	1712.6192290782928
71	1305.5624	921.7596	2959.226	82.94491	1227.4944	736.44604	2584.1926	91.15444	502.9	463.1	354999	427.0407	94.879425	640.194	-381.57086	-432.6556	351.38617	1737.7581014633179
72	713.97	757.0896	2825.1917	92.39446	785.2302	830.98376	2639.644	53.977795	301.9375	369.9	359999	429.75278	94.52307	639.3459	-369.69696	-435.35056	364.18063	1763.5379152297974
73	978.33826	893.3802	2818.4294	45.913235	1576.8802	775.7747	3345.9453	597.0711	426.0	713.1	364999	430.70294	94.58867	645.2081	-406.64597	-436.3653	367.05795	1790.5704882144928
74	932.3837	769.41956	2890.0315	97.62451	1037.581	882.42944	2790.6116	229.83017	393.7143	466.6	369999	433.08163	94.43717	681.8561	-381.6284	-438.6082	355.8959	1816.434023141861
75	1387.9741	1157.4894	4012.4983	116.997894	61.955383	3.7659736	72.07817	57.833355	456.0	62.7	374999	433.68295	94.941025	679.1516	-385.5842	-439.21204	378.892	1841.11873793602
76	919.8345	978.8689	3382.8176	12.73508	2029.1088	1077.2607	3390.7773	92.86701	342.25	666.7	379999	437.4512	93.50458	654.1592	-318.85736	-443.05615	365.00406	1868.2336132526398
77	1526.0214	1108.9572	3687.221	141.89314	1370.0566	1122.0408	3019.2861	111.573364	529.2222	490.0	384999	440.784	92.58022	665.2812	-666.1065	-446.4168	382.36166	1893.9001171588898
